章号,章名,值域代码,值域名称,代码,名称,说明
2,国家标准代码,GB/T 2261.1-2003,性别代码,0,未知的性别,
2,国家标准代码,GB/T 2261.1-2003,性别代码,1,男性,
2,国家标准代码,GB/T 2261.1-2003,性别代码,2,女性,
2,国家标准代码,GB/T 2261.1-2003,性别代码,9,未说明的性别,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,10,未婚,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,20,已婚,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,21,初婚,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,22,再婚,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,23,复婚,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,30,丧偶,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,40,离婚,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,90,未说明的婚姻状况,
2,国家标准代码,GB/T 2659-2000,国籍代码,01,阿富汗,
2,国家标准代码,GB/T 2659-2000,国籍代码,02,阿尔巴尼亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,03,阿尔及利亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,04,美属萨摩亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,05,安道尔,
2,国家标准代码,GB/T 2659-2000,国籍代码,06,安哥拉,
2,国家标准代码,GB/T 2659-2000,国籍代码,07,安圭拉,
2,国家标准代码,GB/T 2659-2000,国籍代码,08,南极洲,
2,国家标准代码,GB/T 2659-2000,国籍代码,09,安提瓜和巴布达,
2,国家标准代码,GB/T 2659-2000,国籍代码,10,阿根廷,
2,国家标准代码,GB/T 2659-2000,国籍代码,11,亚美尼亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,12,阿鲁巴,
2,国家标准代码,GB/T 2659-2000,国籍代码,13,澳大利亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,14,奥地利,
2,国家标准代码,GB/T 2659-2000,国籍代码,15,阿塞拜疆,
2,国家标准代码,GB/T 2659-2000,国籍代码,16,巴哈马,
2,国家标准代码,GB/T 2659-2000,国籍代码,17,巴林,
2,国家标准代码,GB/T 2659-2000,国籍代码,18,孟加拉国,
2,国家标准代码,GB/T 2659-2000,国籍代码,19,巴巴多斯,
2,国家标准代码,GB/T 2659-2000,国籍代码,20,白俄罗斯,
2,国家标准代码,GB/T 2659-2000,国籍代码,21,比利时,
2,国家标准代码,GB/T 2659-2000,国籍代码,22,伯利兹,
2,国家标准代码,GB/T 2659-2000,国籍代码,23,贝宁,
2,国家标准代码,GB/T 2659-2000,国籍代码,24,百慕大,
2,国家标准代码,GB/T 2659-2000,国籍代码,25,不丹,
2,国家标准代码,GB/T 2659-2000,国籍代码,26,玻利维亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,27,波黑,
2,国家标准代码,GB/T 2659-2000,国籍代码,28,博茨瓦纳,
2,国家标准代码,GB/T 2659-2000,国籍代码,29,布维岛,
2,国家标准代码,GB/T 2659-2000,国籍代码,30,巴西,
2,国家标准代码,GB/T 2659-2000,国籍代码,31,英属印度洋领土,
2,国家标准代码,GB/T 2659-2000,国籍代码,32,文莱,
2,国家标准代码,GB/T 2659-2000,国籍代码,33,保加利亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,34,布基纳法索,
2,国家标准代码,GB/T 2659-2000,国籍代码,35,布隆迪,
2,国家标准代码,GB/T 2659-2000,国籍代码,36,柬埔寨,
2,国家标准代码,GB/T 2659-2000,国籍代码,37,喀麦隆,
2,国家标准代码,GB/T 2659-2000,国籍代码,38,加拿大,
2,国家标准代码,GB/T 2659-2000,国籍代码,39,佛得角,
2,国家标准代码,GB/T 2659-2000,国籍代码,40,开曼群岛,
2,国家标准代码,GB/T 2659-2000,国籍代码,41,中非,
2,国家标准代码,GB/T 2659-2000,国籍代码,42,乍得,
2,国家标准代码,GB/T 2659-2000,国籍代码,43,智利,
2,国家标准代码,GB/T 2659-2000,国籍代码,44,中国,
2,国家标准代码,GB/T 2659-2000,国籍代码,45,香港,
2,国家标准代码,GB/T 2659-2000,国籍代码,46,澳门,
2,国家标准代码,GB/T 2659-2000,国籍代码,47,台湾,
2,国家标准代码,GB/T 2659-2000,国籍代码,48,圣诞岛,
2,国家标准代码,GB/T 2659-2000,国籍代码,49,科科斯(基林)群岛,
2,国家标准代码,GB/T 2659-2000,国籍代码,50,哥伦比亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,51,科摩罗,
2,国家标准代码,GB/T 2659-2000,国籍代码,52,刚果（布）,
2,国家标准代码,GB/T 2659-2000,国籍代码,53,刚果（金）,
2,国家标准代码,GB/T 2659-2000,国籍代码,54,库克群岛,
2,国家标准代码,GB/T 2659-2000,国籍代码,55,哥斯达黎加,
2,国家标准代码,GB/T 2659-2000,国籍代码,56,科特迪瓦,
2,国家标准代码,GB/T 2659-2000,国籍代码,57,克罗地亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,58,古巴,
2,国家标准代码,GB/T 2659-2000,国籍代码,59,塞浦路斯,
2,国家标准代码,GB/T 2659-2000,国籍代码,60,捷克,
2,国家标准代码,GB/T 2659-2000,国籍代码,61,丹麦,
2,国家标准代码,GB/T 2659-2000,国籍代码,62,吉布提,
2,国家标准代码,GB/T 2659-2000,国籍代码,63,多米尼克,
2,国家标准代码,GB/T 2659-2000,国籍代码,64,多米尼加共和国,
2,国家标准代码,GB/T 2659-2000,国籍代码,65,东帝汶,
2,国家标准代码,GB/T 2659-2000,国籍代码,66,厄瓜多尔,
2,国家标准代码,GB/T 2659-2000,国籍代码,67,埃及,
2,国家标准代码,GB/T 2659-2000,国籍代码,68,萨尔瓦多,
2,国家标准代码,GB/T 2659-2000,国籍代码,69,赤道几内亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,70,厄立特里亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,71,爱沙尼亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,72,埃塞俄比亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,73,福克兰群岛(马尔维纳斯),
2,国家标准代码,GB/T 2659-2000,国籍代码,74,法罗群岛,
2,国家标准代码,GB/T 2659-2000,国籍代码,75,斐济,
2,国家标准代码,GB/T 2659-2000,国籍代码,76,芬兰,
2,国家标准代码,GB/T 2659-2000,国籍代码,77,法国,
2,国家标准代码,GB/T 2659-2000,国籍代码,78,法属圭亚那,
2,国家标准代码,GB/T 2659-2000,国籍代码,79,法属波利尼西亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,80,法属南部领土,
2,国家标准代码,GB/T 2659-2000,国籍代码,81,加蓬,
2,国家标准代码,GB/T 2659-2000,国籍代码,82,冈比亚Gambia,
2,国家标准代码,GB/T 2659-2000,国籍代码,83,格鲁吉亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,84,德国,
2,国家标准代码,GB/T 2659-2000,国籍代码,85,加纳,
2,国家标准代码,GB/T 2659-2000,国籍代码,86,直布罗陀,
2,国家标准代码,GB/T 2659-2000,国籍代码,87,希腊,
2,国家标准代码,GB/T 2659-2000,国籍代码,88,格陵兰,
2,国家标准代码,GB/T 2659-2000,国籍代码,89,格林纳达,
