值域代码,值域名称,代码,名称,说明
GB/T 2659-2000,国籍代码,41,中非,
GB/T 2659-2000,国籍代码,42,乍得,
GB/T 2659-2000,国籍代码,43,智利,
GB/T 2659-2000,国籍代码,44,中国,
GB/T 2659-2000,国籍代码,45,香港,
GB/T 2659-2000,国籍代码,46,澳门,
GB/T 2659-2000,国籍代码,47,台湾,
GB/T 2659-2000,国籍代码,48,圣诞岛,
GB/T 2659-2000,国籍代码,49,科科斯(基林)群岛,
GB/T 2659-2000,国籍代码,50,哥伦比亚,
GB/T 2659-2000,国籍代码,51,科摩罗,
GB/T 2659-2000,国籍代码,52,刚果（布）,
GB/T 2659-2000,国籍代码,53,刚果（金）,
GB/T 2659-2000,国籍代码,54,库克群岛,
GB/T 2659-2000,国籍代码,55,哥斯达黎加,
GB/T 2659-2000,国籍代码,56,科特迪瓦,
GB/T 2659-2000,国籍代码,57,克罗地亚,
GB/T 2659-2000,国籍代码,58,古巴,
GB/T 2659-2000,国籍代码,59,塞浦路斯,
GB/T 2659-2000,国籍代码,60,捷克,
GB/T 2659-2000,国籍代码,61,丹麦,
GB/T 2659-2000,国籍代码,62,吉布提,
GB/T 2659-2000,国籍代码,63,多米尼克,
GB/T 2659-2000,国籍代码,64,多米尼加共和国,
GB/T 2659-2000,国籍代码,65,东帝汶,
GB/T 2659-2000,国籍代码,66,厄瓜多尔,
GB/T 2659-2000,国籍代码,67,埃及,
GB/T 2659-2000,国籍代码,68,萨尔瓦多,
GB/T 2659-2000,国籍代码,69,赤道几内亚,
GB/T 2659-2000,国籍代码,70,厄立特里亚,
GB/T 2659-2000,国籍代码,71,爱沙尼亚,
GB/T 2659-2000,国籍代码,72,埃塞俄比亚,
GB/T 2659-2000,国籍代码,73,福克兰群岛(马尔维纳斯),
GB/T 2659-2000,国籍代码,74,法罗群岛,
GB/T 2659-2000,国籍代码,75,斐济,
GB/T 2659-2000,国籍代码,76,芬兰,
GB/T 2659-2000,国籍代码,77,法国,
GB/T 2659-2000,国籍代码,78,法属圭亚那,
GB/T 2659-2000,国籍代码,79,法属波利尼西亚,
GB/T 2659-2000,国籍代码,80,法属南部领土,
GB/T 2659-2000,国籍代码,81,加蓬,
GB/T 2659-2000,国籍代码,82,冈比亚Gambia,
GB/T 2659-2000,国籍代码,83,格鲁吉亚,
GB/T 2659-2000,国籍代码,84,德国,
GB/T 2659-2000,国籍代码,85,加纳,
GB/T 2659-2000,国籍代码,86,直布罗陀,
GB/T 2659-2000,国籍代码,87,希腊,
GB/T 2659-2000,国籍代码,88,格陵兰,
GB/T 2659-2000,国籍代码,89,格林纳达,
GB/T 2659-2000,国籍代码,90,瓜德罗普,
GB/T 2659-2000,国籍代码,91,关岛,
GB/T 2659-2000,国籍代码,92,危地马拉,
GB/T 2659-2000,国籍代码,93,几内亚,
GB/T 2659-2000,国籍代码,94,几内亚比绍,
GB/T 2659-2000,国籍代码,95,圭亚那,
GB/T 2659-2000,国籍代码,96,海地,
GB/T 2659-2000,国籍代码,97,赫德岛和麦克唐纳岛,
GB/T 2659-2000,国籍代码,98,洪都拉斯,
GB/T 2659-2000,国籍代码,99,匈牙利,
GB/T 2659-2000,国籍代码,100,冰岛,
GB/T 2659-2000,国籍代码,101,印度,
GB/T 2659-2000,国籍代码,102,印度尼西亚,
GB/T 2659-2000,国籍代码,103,伊朗,
GB/T 2659-2000,国籍代码,104,伊拉克,
GB/T 2659-2000,国籍代码,105,爱尔兰,
GB/T 2659-2000,国籍代码,106,以色列,
GB/T 2659-2000,国籍代码,107,意大利,
GB/T 2659-2000,国籍代码,108,牙买加,
GB/T 2659-2000,国籍代码,109,日本,
GB/T 2659-2000,国籍代码,110,约旦,
GB/T 2659-2000,国籍代码,111,哈萨克斯坦,
GB/T 2659-2000,国籍代码,112,肯尼亚,
GB/T 2659-2000,国籍代码,113,基里巴斯,
GB/T 2659-2000,国籍代码,114,朝鲜,
GB/T 2659-2000,国籍代码,115,韩国,
GB/T 2659-2000,国籍代码,116,科威特,
GB/T 2659-2000,国籍代码,117,吉尔吉斯斯坦,
GB/T 2659-2000,国籍代码,118,老挝,
GB/T 2659-2000,国籍代码,119,拉脱维亚,
GB/T 2659-2000,国籍代码,120,黎巴嫩,
GB/T 2659-2000,国籍代码,121,莱索托,
GB/T 2659-2000,国籍代码,122,利比里亚,
GB/T 2659-2000,国籍代码,123,利比亚,
GB/T 2659-2000,国籍代码,124,列支敦士登,
GB/T 2659-2000,国籍代码,125,立陶宛,
GB/T 2659-2000,国籍代码,126,卢森堡,
GB/T 2659-2000,国籍代码,127,前南马其顿,
GB/T 2659-2000,国籍代码,128,马达加斯加,
GB/T 2659-2000,国籍代码,129,马拉维,
GB/T 2659-2000,国籍代码,130,马来西亚,
GB/T 2659-2000,国籍代码,131,马尔代夫,
GB/T 2659-2000,国籍代码,132,马里,
GB/T 2659-2000,国籍代码,133,马耳他,
GB/T 2659-2000,国籍代码,134,马绍尔群岛,
GB/T 2659-2000,国籍代码,135,马提尼克,
GB/T 2659-2000,国籍代码,136,毛里塔尼亚,
GB/T 2659-2000,国籍代码,137,毛里求斯,
GB/T 2659-2000,国籍代码,138,马约特,
GB/T 2659-2000,国籍代码,139,墨西哥,
GB/T 2659-2000,国籍代码,140,密克罗尼西亚联邦,
GB/T 2659-2000,国籍代码,141,摩尔多瓦,
GB/T 2659-2000,国籍代码,142,摩纳哥,
GB/T 2659-2000,国籍代码,143,蒙古,
GB/T 2659-2000,国籍代码,144,蒙特塞拉特,
GB/T 2659-2000,国籍代码,145,摩洛哥,
GB/T 2659-2000,国籍代码,146,莫桑比克,
GB/T 2659-2000,国籍代码,147,缅甸,
GB/T 2659-2000,国籍代码,148,纳米比亚,
GB/T 2659-2000,国籍代码,149,瑙鲁,
GB/T 2659-2000,国籍代码,150,尼泊尔,
GB/T 2659-2000,国籍代码,151,荷兰,
GB/T 2659-2000,国籍代码,152,荷属安的列斯,
GB/T 2659-2000,国籍代码,153,新喀里多尼亚,
GB/T 2659-2000,国籍代码,154,新西兰,
GB/T 2659-2000,国籍代码,155,尼加拉瓜,
GB/T 2659-2000,国籍代码,156,尼日尔,
GB/T 2659-2000,国籍代码,157,尼日利亚,
GB/T 2659-2000,国籍代码,158,纽埃,
GB/T 2659-2000,国籍代码,159,诺福克岛,
GB/T 2659-2000,国籍代码,160,北马里亚纳,
GB/T 2659-2000,国籍代码,161,挪威,
GB/T 2659-2000,国籍代码,162,阿曼,
GB/T 2659-2000,国籍代码,163,巴基斯坦,
GB/T 2659-2000,国籍代码,164,帕劳,
GB/T 2659-2000,国籍代码,165,巴勒斯坦,
GB/T 2659-2000,国籍代码,166,巴拿马,
GB/T 2659-2000,国籍代码,167,巴布亚新几内亚,
GB/T 2659-2000,国籍代码,168,巴拉圭,
GB/T 2659-2000,国籍代码,169,秘鲁,
GB/T 2659-2000,国籍代码,170,菲律宾,
GB/T 2659-2000,国籍代码,171,皮特凯恩群岛,
GB/T 2659-2000,国籍代码,172,波兰,
GB/T 2659-2000,国籍代码,173,葡萄牙,
GB/T 2659-2000,国籍代码,174,波多黎各,
GB/T 2659-2000,国籍代码,175,卡塔尔,
GB/T 2659-2000,国籍代码,176,留尼汪,
GB/T 2659-2000,国籍代码,177,罗马尼亚,
GB/T 2659-2000,国籍代码,178,俄罗斯联邦,
GB/T 2659-2000,国籍代码,179,卢旺达,
GB/T 2659-2000,国籍代码,180,圣赫勒拿,
GB/T 2659-2000,国籍代码,181,圣基茨和尼维斯,
GB/T 2659-2000,国籍代码,182,圣卢西亚,
GB/T 2659-2000,国籍代码,183,圣皮埃尔和密克隆,
GB/T 2659-2000,国籍代码,184,圣文森特和格林纳丁斯,
GB/T 2659-2000,国籍代码,185,萨摩亚,
GB/T 2659-2000,国籍代码,186,圣马力诺,
GB/T 2659-2000,国籍代码,187,圣多美和普林西比,
GB/T 2659-2000,国籍代码,188,沙特阿拉伯,
GB/T 2659-2000,国籍代码,189,塞内加尔,
GB/T 2659-2000,国籍代码,190,塞舌尔,
GB/T 2659-2000,国籍代码,191,塞拉利昂,
GB/T 2659-2000,国籍代码,192,新加坡,
GB/T 2659-2000,国籍代码,193,斯洛伐克,
GB/T 2659-2000,国籍代码,194,斯洛文尼亚,
GB/T 2659-2000,国籍代码,195,所罗门群岛,
GB/T 2659-2000,国籍代码,196,索马里,
GB/T 2659-2000,国籍代码,197,南非,
GB/T 2659-2000,国籍代码,198,南乔治亚岛和南桑德韦奇岛,
GB/T 2659-2000,国籍代码,199,西班牙,
GB/T 2659-2000,国籍代码,200,斯里兰卡,
GB/T 2659-2000,国籍代码,201,苏丹,
GB/T 2659-2000,国籍代码,202,苏里南,
GB/T 2659-2000,国籍代码,203,斯瓦尔巴群岛,
GB/T 2659-2000,国籍代码,204,斯威士兰,
GB/T 2659-2000,国籍代码,205,瑞典,
GB/T 2659-2000,国籍代码,206,瑞士,
GB/T 2659-2000,国籍代码,207,叙利亚,
GB/T 2659-2000,国籍代码,208,塔吉克斯坦,
GB/T 2659-2000,国籍代码,209,坦桑尼亚,
GB/T 2659-2000,国籍代码,210,泰国,
GB/T 2659-2000,国籍代码,211,多哥,
GB/T 2659-2000,国籍代码,212,托克劳,
GB/T 2659-2000,国籍代码,213,汤加,
GB/T 2659-2000,国籍代码,214,特立尼达和多巴哥,
GB/T 2659-2000,国籍代码,215,突尼斯,
GB/T 2659-2000,国籍代码,216,土耳其,
GB/T 2659-2000,国籍代码,217,土库曼斯坦,
GB/T 2659-2000,国籍代码,218,特克斯科斯群岛,
GB/T 2659-2000,国籍代码,219,图瓦卢,
GB/T 2659-2000,国籍代码,220,乌干达,
GB/T 2659-2000,国籍代码,221,乌克兰,
GB/T 2659-2000,国籍代码,222,阿联酋,
GB/T 2659-2000,国籍代码,223,英国,
GB/T 2659-2000,国籍代码,224,美国,
GB/T 2659-2000,国籍代码,225,美国本土外小岛屿,
GB/T 2659-2000,国籍代码,226,乌拉圭,
GB/T 2659-2000,国籍代码,227,乌兹别克斯坦,
GB/T 2659-2000,国籍代码,228,瓦努阿图,
GB/T 2659-2000,国籍代码,229,梵蒂冈,
GB/T 2659-2000,国籍代码,230,委内瑞拉,
GB/T 2659-2000,国籍代码,231,越南,
GB/T 2659-2000,国籍代码,232,英属维尔京群岛,
GB/T 2659-2000,国籍代码,233,美属维尔京群岛,
GB/T 2659-2000,国籍代码,234,瓦利斯和富图纳,
GB/T 2659-2000,国籍代码,235,西撒哈拉,
GB/T 2659-2000,国籍代码,236,也门,
GB/T 2659-2000,国籍代码,237,南斯拉夫,
GB/T 2659-2000,国籍代码,238,赞比亚,
GB/T 2659-2000,国籍代码,239,津巴布韦,
GB/T 4658-2006,学历代码,10,研究生教育,
GB/T 4658-2006,学历代码,11,博士研究生毕业,
GB/T 4658-2006,学历代码,12,博士研究生结业,
GB/T 4658-2006,学历代码,13,博士研究生肄业,
GB/T 4658-2006,学历代码,14,硕士研究生毕业,
GB/T 4658-2006,学历代码,15,硕士研究生结业,
GB/T 4658-2006,学历代码,16,硕士研究生肄业,
GB/T 4658-2006,学历代码,17,研究生班毕业,
GB/T 4658-2006,学历代码,18,研究生班结业,
GB/T 4658-2006,学历代码,19,研究生班肄业,
GB/T 4658-2006,学历代码,20,大学本科,
GB/T 4658-2006,学历代码,21,大学本科毕业,
GB/T 4658-2006,学历代码,22,大学本科结业,
GB/T 4658-2006,学历代码,23,大学本科肄业,
GB/T 4658-2006,学历代码,28,大学普通班毕业,
GB/T 4658-2006,学历代码,30,专科教育,
GB/T 4658-2006,学历代码,31,大学专科毕业,
GB/T 4658-2006,学历代码,32,大学专科结业,
GB/T 4658-2006,学历代码,33,大学专科肄业,
GB/T 4658-2006,学历代码,40,中等职业教育,
GB/T 4658-2006,学历代码,41,中等专科毕业,
GB/T 4658-2006,学历代码,42,中等专科结业,
GB/T 4658-2006,学历代码,43,中等专科肄业,
GB/T 4658-2006,学历代码,44,职业高中毕业,
GB/T 4658-2006,学历代码,45,职业高中结业,
GB/T 4658-2006,学历代码,46,职业高中肄业,
GB/T 4658-2006,学历代码,47,技工学校毕业,
GB/T 4658-2006,学历代码,48,技工学校结业,
GB/T 4658-2006,学历代码,49,技工学校肄业,
GB/T 4658-2006,学历代码,60,普通高级中学教育,
GB/T 4658-2006,学历代码,61,普通高中毕业,
GB/T 4658-2006,学历代码,62,普通高中结业,
GB/T 4658-2006,学历代码,63,普通高中肄业,
GB/T 4658-2006,学历代码,70,初级中学教育,
GB/T 4658-2006,学历代码,71,初中毕业,
GB/T 4658-2006,学历代码,73,初中肄业,
GB/T 4658-2006,学历代码,80,小学教育,
GB/T 4658-2006,学历代码,81,小学毕业,
GB/T 4658-2006,学历代码,83,小学肄业,
